Üst Kategori,Kategori,İşlem,Açıklama,Uygulanan Ürün Grupları,CO2 (kgCO2e/ürün),Not
Bitmiş Ürün İşlemleri,Baskı Teknikleri,Serigrafi (Screen Print),"Klasik baskı tekniği; dayanıklı, çok renkli baskılar","Tişört, Sweatshirt, Çocuk Giyim",0.35-0.50,
Bitmiş Ürün İşlemleri,Baskı Teknikleri,Rotasyon (Rotary Screen Print),Döner silindirle sürekli desen baskı,"Denim, Dış Giyim, Büyük parçalar",0.40-0.60,
Bitmiş Ürün İşlemleri,Baskı Teknikleri,Dijital Baskı,Fotoğraf kalitesinde baskı,"Moda koleksiyonları, Premium tişört, Elbise",0.25-0.40,
Bitmiş Ürün İşlemleri,Baskı Teknikleri,Sublimasyon,Polyester bazlı kumaşa transfer,"Spor giyim, Forma, Aktif giyim",0.30-0.45,
Bitmiş Ürün İşlemleri,Baskı Teknikleri,Folyo (Foil) Baskı,Parlak metalik yüzey,"Kadın giyim, Moda, Aksesuar",0.20-0.35,
Bitmiş Ürün İşlemleri,Baskı Teknikleri,Discharge (Açık Ekran) Baskı,Boya çıkarılarak desen oluşturma,"Tişört, Sweatshirt",0.30-0.50,
Bitmiş Ürün İşlemleri,Baskı Teknikleri,Kabartma (Emboss) Baskı,3D yüzeyli desen,"Moda tişört, Özel koleksiyon",0.25-0.40,
Bitmiş Ürün İşlemleri,Baskı Teknikleri,Sim / Glitter Baskı,Parıltılı efekt,Kadın & Çocuk giyim,0.20-0.35,
Bitmiş Ürün İşlemleri,Nakış & Süsleme,Direkt Nakış,Klasik nakış,"Polo, Gömlek, Şapka, Çocuk giyim",0.20-0.35,
Bitmiş Ürün İşlemleri,Nakış & Süsleme,Aplike Nakış,Kumaş parçalarının işlenmesi,"Sweatshirt, Denim, Ceket",0.30-0.45,
Bitmiş Ürün İşlemleri,Nakış & Süsleme,Chenille Nakış,Havlı ipliklerle dokulu nakış,"Kolej montu, Sweatshirt",0.35-0.55,
Bitmiş Ürün İşlemleri,Nakış & Süsleme,3D Nakış,Kabartmalı nakış,"Spor şapka, Polo",0.25-0.40,
Bitmiş Ürün İşlemleri,Nakış & Süsleme,Boncuklu / Taşlı Nakış,Dekoratif lüks nakış,"Kadın abiye, Özel koleksiyon",0.40-0.70,
Bitmiş Ürün İşlemleri,Aplike & Eklemeler,Kumaş Aplike,Ek kumaş parçaları ile desen,"Denim jacket, Sweatshirt",0.20-0.35,
Bitmiş Ürün İşlemleri,Aplike & Eklemeler,Patch / Arma,Dikişli veya yapıştırmalı arma,"Tişört, Denim, Spor giyim",0.15-0.30,
Bitmiş Ürün İşlemleri,Aplike & Eklemeler,Laser-cut Aplike,Lazerle kesilmiş aplike,"Moda, Genç giyim",0.20-0.35,
Bitmiş Ürün İşlemleri,Aplike & Eklemeler,PVC / PU Aplike,Sentetik aplike,"Spor giyim, Streetwear",0.25-0.40,
Bitmiş Ürün İşlemleri,Parça Boyama,Garment Dye,Bitmiş ürünü boyama,"Tişört, Sweatshirt, Denim",0.80-1.20,
Bitmiş Ürün İşlemleri,Parça Boyama,Dip Dye / Ombre,Kademeli renk geçişi,"Tişört, Elbise, Çocuk giyim",0.50-0.80,
Bitmiş Ürün İşlemleri,Parça Boyama,Tie-Dye,"Batik, bağlama boyama","Moda trend, Çocuk, Festival giyim",0.60-0.90,
Bitmiş Ürün İşlemleri,Parça Boyama,Spray Dye,Sprey efekt boyama,"Casual giyim, Denim",0.40-0.70,
Bitmiş Ürün İşlemleri,Parça Boyama,Acid Wash Dye,Asit efektli boyama,"Denim, Sweatshirt",0.60-0.90,
Bitmiş Ürün İşlemleri,Parça Yıkama & Efektler,Stone Wash,Taşla eskitme,"Denim, Casual giyim",0.50-0.70,
Bitmiş Ürün İşlemleri,Parça Yıkama & Efektler,Enzim Wash,Enzimlerle yumuşatma,"Tişört, Sweatshirt, Denim",0.40-0.60,
Bitmiş Ürün İşlemleri,Parça Yıkama & Efektler,Bleach Wash,Açık renk efekt,"Denim, Moda tişört",0.60-0.90,
Bitmiş Ürün İşlemleri,Parça Yıkama & Efektler,Sand Wash,Kum aşındırma,"Denim, Casual",0.40-0.60,
Bitmiş Ürün İşlemleri,Parça Yıkama & Efektler,Vintage Wash,Eskitilmiş görünüm,"Denim, Moda",0.50-0.80,
Bitmiş Ürün İşlemleri,Parça Yıkama & Efektler,Destroyed / Ripped Wash,"Yırtık, parçalanmış efekt","Denim, Streetwear",0.60-0.90,
Bitmiş Ürün İşlemleri,Parça Yıkama & Efektler,Snow Wash,Kar taneli desen efekti,"Denim, Moda",0.40-0.60,
Bitmiş Ürün İşlemleri,Kaplama & Astar,PU / PVC Kaplama,Sentetik film kaplama,"Dış giyim, Çanta, Aksesuar",0.30-0.50,
Bitmiş Ürün İşlemleri,Kaplama & Astar,Wax Kaplama,Balmumu kaplama,"Dış giyim, Denim",0.20-0.40,
Bitmiş Ürün İşlemleri,Kaplama & Astar,Laminasyon,İki yüzeyin lamine edilmesi,"Teknik giyim, Dış giyim",0.40-0.70,
Bitmiş Ürün İşlemleri,Taşlama & Eskitme,Kumlama (Sandblasting),Yüzey aşındırma,"Denim, İş giyim",0.40-0.60,
Bitmiş Ürün İşlemleri,Taşlama & Eskitme,El Taşlama,Manuel eskitme,"Denim, Casual",0.20-0.35,
Bitmiş Ürün İşlemleri,Taşlama & Eskitme,Lazer Eskitme,Lazerle desen/eskitme,"Denim, Moda",0.10-0.20,
Bitmiş Ürün İşlemleri,Taşlama & Eskitme,Whiskers (Bıyık Efekti),Denim’de büküm çizgileri,"Denim pantolon, Ceket",0.15-0.25,
Bitmiş Ürün İşlemleri,Bitim & Apre İşlemleri,Anti-Pilling Finish,Tüylenme önleyici,"Tişört, Sweatshirt",0.10-0.20,
Bitmiş Ürün İşlemleri,Bitim & Apre İşlemleri,Su itici (Water-repellent) Finish,Su geçirmezlik,"Dış giyim, Outdoor",0.30-0.50,
Bitmiş Ürün İşlemleri,Bitim & Apre İşlemleri,Parlak / Mat Kaplama,Yüzey görünümü değiştirir,"Moda, Aksesuar",0.25-0.40,
Bitmiş Ürün İşlemleri,Bitim & Apre İşlemleri,Resin Finish,Sertlik / tutum kazandırır,"Denim, Dış giyim",0.30-0.50,
Bitmiş Ürün İşlemleri,Sıcak Transfer & Folyo,Heat Transfer,Isıyla transfer desen,"Spor giyim, Tişört",0.15-0.25,
Bitmiş Ürün İşlemleri,Sıcak Transfer & Folyo,Plastisol Transfer,Plastisol bazlı transfer baskı,"Spor giyim, Aktif giyim",0.20-0.35,
Bitmiş Ürün İşlemleri,Sıcak Transfer & Folyo,PU / PVC Transfer,Plastik bazlı transfer,"Streetwear, Spor giyim",0.25-0.40,
Bitmiş Ürün İşlemleri,Dekoratif İşlemler,Flock Baskı,Kadife efekt,"Tişört, Sweatshirt",0.20-0.35,
Bitmiş Ürün İşlemleri,Dekoratif İşlemler,Kabartma (Emboss/Deboss),Yüzey kabartma / çökertme,"Moda, Premium giyim",0.25-0.40,
Bitmiş Ürün İşlemleri,Dekoratif İşlemler,Lazer Kesim,Desen kesim,"Denim, Streetwear",0.10-0.20,
Bitmiş Ürün İşlemleri,Dekoratif İşlemler,Burn-out (Yanık),Kumaşın bir kısmını yakarak desen,"Moda, Premium, Casual",0.40-0.60,
Bitmiş Ürün İşlemleri,Aksesuar Eklemeler,Studs (Zımbalar),Metal dekor,"Denim, Streetwear, Aksesuar",0.05-0.15,
Bitmiş Ürün İşlemleri,Aksesuar Eklemeler,Rivet,Metal perçin,"Denim, Çanta, Ceket",0.05-0.15,
Bitmiş Ürün İşlemleri,Aksesuar Eklemeler,Boncuk / Payet,Dekoratif ekleme,"Kadın abiye, Çocuk",0.20-0.40,
Bitmiş Ürün İşlemleri,Aksesuar Eklemeler,Taş Yapıştırma,"Kristal, taş, strass","Kadın giyim, Moda",0.25-0.45,
Bitmiş Ürün İşlemleri,Aksesuar Eklemeler,"Zincir, Metal Detay",Dekoratif metal,"Denim, Streetwear",0.20-0.40,
Bitmiş Ürün İşlemleri,Özel Efektler,Metalik Kaplama,Altın / gümüş görünüm,"Moda, Premium",0.30-0.50,
Bitmiş Ürün İşlemleri,Özel Efektler,UV Reactive Baskı,Işık altında renk değiştirir,"Streetwear, Moda",0.25-0.40,
Bitmiş Ürün İşlemleri,Özel Efektler,Glow-in-the-Dark,Karanlıkta parlayan efekt,"Çocuk giyim, Spor giyim",0.25-0.40,
Bitmiş Ürün İşlemleri,Özel Efektler,Holografik Transfer,Hologram görünümlü desen,"Moda, Genç giyim",0.30-0.50,
Konfeksiyon,Kesim,Pastal Hazırlık (Marker),Beden/derinlik dağılımına göre en verimli yerleşim planı oluşturma,Tüm giyim grupları,0.01-0.02,Dijital marker yazılımı/plotter; enerji tüketimi düşük
Konfeksiyon,Kesim,Serim (Spreading) - Manuel,Kat kat kumaş serimi; kenar hizalama,Tüm giyim grupları,0.01-0.03,Serim makinası/konveyör opsiyonlu
Konfeksiyon,Kesim,Serim (Spreading) - Otomatik,Otomatik serim makinesi ile hızlı ve düz serim,Tüm giyim grupları,0.02-0.04,"Daha stabil, fire azalır"
Konfeksiyon,Kesim,Kesim - Manuel Bıçak (Dikey/Şerit),Çok katlı kumaşın şerit/dikey bıçakla kesimi,Tüm giyim grupları,0.02-0.05,Operatör becerisine bağlı kesim doğruluğu
Konfeksiyon,Kesim,Kesim - CNC (Otomatik),Vakumlu masada CNC ile otomatik kesim,Tüm giyim grupları,0.03-0.08,Yüksek hassasiyet; fire düşer
Konfeksiyon,Kesim,Kalıp/Perforaj İşaretleme,"Notch, delik ve işaretlerin eklenmesi",Tüm giyim grupları,0.005-0.015,Pnömatik/elektrikli ekipman
Konfeksiyon,Kesim,Kenar Düzeltme & Çentik (Notching),Dikiş referansı için çentik açma,Tüm giyim grupları,0.005-0.010,Hata azaltır
Konfeksiyon,Kesim,Demetleme (Bundling) & Etiketleme,Parçaların model/beden bazında demetlenmesi ve biletlenmesi,Tüm giyim grupları,0.005-0.015,İzlenebilirlik için önemlidir
Konfeksiyon,Kesim,Tela Kesimi (Interlining),Tela ve yardımcı malzemelerin kesimi,"Gömlek, Ceket, Dış giyim",0.01-0.03,Isı ile yapışma öncesi
Konfeksiyon,Kesim,Lazer Kesim,Lazer ile hassas kesim ve mühürleme,"Teknik giyim, Aksesuar, Sentetik",0.02-0.05,Kenar mühürleme sağlar
Konfeksiyon,Triyaj/Preparasyon,Operasyon Planlama (SMV Bozumu),Model için operasyonların sıralanması ve zaman etüdü,Tüm giyim grupları,0.005-0.015,IE mühendisliği; hat dengeleme
Konfeksiyon,Triyaj/Preparasyon,Hat Dengeleme & Besleme,İş istasyonlarına WIP akışının ayarlanması,Tüm giyim grupları,0.005-0.015,Verimlilik artışı sağlar
Konfeksiyon,Triyaj/Preparasyon,Telalama (Fusing),Tela ile parçaların preslenerek yapıştırılması,"Gömlek, Ceket, Dış giyim",0.03-0.06,Sürekli bant pres/kalıp pres
Konfeksiyon,Triyaj/Preparasyon,Cep/Plaket/Pat Hazırlığı,"Cüzdan cep, plaket, pat katlama ve ütüleme","Gömlek, Ceket, Denim",0.02-0.05,Kalıp/şablonla standartlaştırma
Konfeksiyon,Triyaj/Preparasyon,Ön İşlem Nakış/Baskı,Dikim öncesi nakış veya baskı uygulaması,"Tişört, Sweatshirt, Çocuk",0.15-0.40,İşleme göre değişir (bkz. ilgili tablolar)
Konfeksiyon,Triyaj/Preparasyon,Aksesuar Hazırlığı,"Etiket, fermuar, düğme, ribana vb. hat besleme",Tüm giyim grupları,0.005-0.015,Malzeme ayrıştırma ve kalite kontrol
Konfeksiyon,Dikim,Overlock (3/4/5 İplik),Kenar temizleme ve birleştirme,"Tişört, Sweatshirt, Örme",0.03-0.06,Makine gücü ve SMV’ye bağlı
Konfeksiyon,Dikim,Düz Dikiş (Lockstitch),Ana birleştirme dikişleri,Tüm giyim grupları,0.05-0.12,SMV arttıkça CO2 artar
Konfeksiyon,Dikim,Zincir Dikiş (Chainstitch),"Esnek dikiş, yan/kol altı","Örme, Denim",0.04-0.08,Spor giyimde yaygın
Konfeksiyon,Dikim,Reçme / Coverstitch,"Paça, ribana, elastik uçlar","Tişört, Sweatshirt, Spor",0.04-0.09,Çift iğne kapama
Konfeksiyon,Dikim,Flatlock,"Düz birleşim, düşük tahriş",Spor/Performans Giyim,0.05-0.10,Çok iğneli işlem
Konfeksiyon,Dikim,Bartack / Sürfile,Stres noktalarında takviye,"Denim, İş Giyim",0.01-0.02,Kısa operasyon
Konfeksiyon,Dikim,Fitil/Ribana Uygulama,Yaka/kol ucu ribana montajı,Örme grupları,0.02-0.05,Reçme ile birlikte
Konfeksiyon,Dikim,Yaka/Kragen Montajı,Yaka takma ve şekillendirme,"Gömlek, Tişört, Ceket",0.03-0.07,Pres destekli olabilir
Konfeksiyon,Dikim,Kol Takma (Set-in/Raglan),Kolun gövdeye montajı,Tüm giyim grupları,0.04-0.09,Model tipine bağlı
Konfeksiyon,Dikim,Yan Dikiş & İç Bacak,Ana gövde birleştirme,Tüm giyim grupları,0.03-0.07,Lockstitch/Chainstitch
Konfeksiyon,Dikim,Fermuar Montajı,Ön/yan/cep fermuarı takma,"Denim, Dış giyim, Etek",0.02-0.05,Kalıp hassasiyeti önemli
Konfeksiyon,Dikim,Kemer/Bel Bandı,Bel bandı montaj ve kapama,"Denim, Pantolon, Etek",0.03-0.06,Reçme/lockstitch kombin
Konfeksiyon,Dikim,Paça Yapma (Hem),Alt uç kapama,Tüm giyim grupları,0.02-0.05,Reçme/Blind stitch
Konfeksiyon,Dikim,Kör Dikiş (Blind Hem),Görünmez paça,"Takım elbise, Abiye",0.02-0.04,Özel makine
Konfeksiyon,Dikim,Düğme Dikme,Düğmelerin makinayla dikilmesi,"Gömlek, Ceket, Dış giyim",0.01-0.02,Otomatik düğme makinası
Konfeksiyon,Dikim,İlik Açma,Düğme iliği açılması,"Gömlek, Ceket",0.01-0.02,Kilitli otomatik ilik
Konfeksiyon,Dikim,Perçin/Snap/Metal Aksesuar,Perçin ve çıtçıt uygulama,"Denim, Dış giyim",0.01-0.02,Pnömatik pres
Konfeksiyon,Bitim,Temizleme (İplik/Kılçık Alma),Sarkan ipliklerin kesilmesi,Tüm giyim grupları,0.01-0.02,Kısmi manuel
Konfeksiyon,Bitim,Ütü/Pres - Buharlı Tablo,Parça/parça ve son form presi,Tüm giyim grupları,0.10-0.20,Buhar kazanı enerjisi dahil
Konfeksiyon,Bitim,Ütü/Pres - Kalıp/Presse,Kalıp presle form verme,"Ceket, Dış giyim",0.12-0.25,Daha sabit form
Konfeksiyon,Bitim,Buhar Tüneli (Steam Tunnel),Asılı ürünlerin kırışıklık giderme,"Tişört, Sweatshirt, Örme",0.08-0.18,Yüksek adet/verim
Konfeksiyon,Bitim,Dekatür/Şekil Sabitleme,Özellikle dokuma/ceketlerde şekil verme,"Ceket, Takım",0.08-0.15,Basınç ve ısı
Konfeksiyon,Bitim,Aksesuar Montajı (Etiket/Askı),"Ana/yan etiket, askı aparatı, carelabel",Tüm giyim grupları,0.01-0.02,Malzeme CO2’si hariç
Konfeksiyon,Kontrol & Paketleme,Inline QC (İstasyon İçi),İstasyon bazlı kontrol ve düzeltme,Tüm giyim grupları,0.01-0.02,Hata erken yakalanır
Konfeksiyon,Kontrol & Paketleme,Endline QC (Hat Sonu),Tamamlanmış ürünün görsel/işlevsel kontrolü,Tüm giyim grupları,0.01-0.02,AQL öncesi filtre
Konfeksiyon,Kontrol & Paketleme,Ölçüm Kontrolü (Measurement),Tabloya göre beden ölçü kontrolü,Tüm giyim grupları,0.01-0.02,Rastgele/100% seçime göre
Konfeksiyon,Kontrol & Paketleme,İğne/Metal Dedektörü,İğne/metal parça tespiti,"Çocuk, Denim, Özel istekli ürünler",0.005-0.010,Gıda/çocukta sıkı zorunlu
Konfeksiyon,Kontrol & Paketleme,Final AQL Denetimi,ANSI/ASQ Z1.4 vb. plana göre muayene,Tüm giyim grupları,0.01-0.02,Sevkiyat onayı
Konfeksiyon,Kontrol & Paketleme,Katlama & Poşetleme,Standart kat ve polybag/paperbag,Tüm giyim grupları,0.02-0.05,Malzeme CO2’si hariç
Konfeksiyon,Kontrol & Paketleme,Set/Pack Hazırlama,Çoklu paket/renk/beden seti hazırlama,"Çocuk, İç giyim, Çoklu paket ürünler",0.02-0.05,Etiketleme dahil
Konfeksiyon,Kontrol & Paketleme,Kutuya Dizim & Paletleme,"Kartonlama, koli etiketleri ve palet",Tüm giyim grupları,0.03-0.08,Lojistik öncesi son aşama
Konfeksiyon,Destek,Rework/Tamir,Hatalı ürünlerin onarımı,Tüm giyim grupları,0.02-0.06,Ek operasyon süresi
Konfeksiyon,Destek,SMED / Setup Değişimi,Makine ayar/kalıp değişimi,Tüm giyim grupları,0.01-0.03,Seri geçişlerinde
Konfeksiyon,Destek,Bakım & Yağlama,Makine bakım işlemleri,Tüm giyim grupları,0.005-0.015,Periyodik bakım
Konfeksiyon,Kumaş & Malzeme Ön Hazırlık,Kumaş Kontrol (4-Point System),"Top üzeri hata, delik, çizgi tespiti ve derecelendirme",Tüm giyim grupları,0.01-0.02,Hata puanları DPP’ye yazılır
Konfeksiyon,Kumaş & Malzeme Ön Hazırlık,Gramaj / En Ölçümü,Kesim verimliliği ve marker doğruluğu için ölçüm,Tüm giyim grupları,0.005-0.010,
Konfeksiyon,Kumaş & Malzeme Ön Hazırlık,Kondisyonlama,Kesim öncesi nem/sıcaklıkta dinlendirme,Elastanlı/Dokuma/Örme,0.005-0.010,Özellikle elastan % içerikli kumaşlarda
Konfeksiyon,Kumaş & Malzeme Ön Hazırlık,Shade Band / Renk Şal Yönetimi,Farklı toplar arasında renk farkı kontrolü,Tüm giyim grupları,0.005-0.010,Top eşleştirme ve lot yönetimi
Konfeksiyon,Kalite/Test,Çekme (Shrinkage) Testi,Yıkama sonrası boyut değişimi ölçümü,Tüm giyim grupları,0.01-0.02,ISO 6330 referans alınabilir
Konfeksiyon,Kalite/Test,Renk Haslığı (Yıkama/Sürtme/Işık),Renk sürdürme performansı,Tüm giyim grupları,0.01-0.02,ISO 105 serisi
Konfeksiyon,Kalite/Test,İğne/Metal Policy & Kayıt,"Kırık iğne takibi, metal dedektör yönetimi","Çocuk, Denim, AB regülasyonlu ürünler",0.005-0.010,Zorunlu prosedürler
Konfeksiyon,Kalite/Test,Boyutsal Stabilite & Bükülme,Bükülme/dönme testleri,"Örme, Jersey",0.01-0.02,
Konfeksiyon,Paketleme Malzemeleri,Polybag,Geri dönüştürülmüş PE tercih; boyut ve mikron standardı,Tüm giyim grupları,0.02-0.05,Malzeme CO2 dahil
Konfeksiyon,Paketleme Malzemeleri,Karton (Inner/Outer),"Karton kalite, e-flute, FSC tercih",Tüm giyim grupları,0.05-0.15,Malzeme CO2 dahil
Konfeksiyon,Paketleme Malzemeleri,Askı / Kılıf,"Plastik/metal askı, toz kılıfı","Dış giyim, Formal",0.02-0.06,Malzeme CO2 dahil
Konfeksiyon,Paketleme Malzemeleri,Silica Gel / Nem Tutucu,Nem kontrol için paket içi kimyasal,Tüm giyim grupları,0.005-0.015,Alternatif: Kağıt bazlı nem tutucu
Konfeksiyon,Paketleme Malzemeleri,Sticker / Barkod / RFID,UPC/EAN/RFID etiket ve yapıştırıcı,Büyük perakende markaları,0.005-0.020,RFID malzeme CO2 dahil
Konfeksiyon,Lojistik Hazırlık,Koli Dizimi (Cartonization),Karton ebat/istif optimizasyonu,Tüm giyim grupları,0.01-0.03,Taşıma verimini artırır
Konfeksiyon,Lojistik Hazırlık,Paletleme & Streç,Palet standardı ve streç film uygulaması,Tüm giyim grupları,0.02-0.05,Malzeme CO2 dahil
Konfeksiyon,Lojistik Hazırlık,Sevkiyat Etiketi & ASN,Advance Shipment Notice ve etiket standardı,Tüm giyim grupları,0.005-0.015,EDI/ERP entegrasyonu
Konfeksiyon,Destek Süreçler,Enerji & Su Sayaç İzleme,Hattın elektrik/buhar/su tüketimi ölçümü,Tüm giyim grupları,0.005-0.020,DPP/CO2 için zorunlu veri
Konfeksiyon,Destek Süreçler,Bakım & Arıza Kayıtları,Planlı bakım ve arıza duruşları,Tüm giyim grupları,0.005-0.010,OEE ve CO2 ilişkisi
Konfeksiyon,Destek Süreçler,Fire & Rework İzlenebilirliği,"Hata oranları, yeniden işleme kayıtları",Tüm giyim grupları,0.005-0.015,CO2 etkisini artırır
